Lake_ID;Ergasilus.spp.;harpacticoid;Daphnia.ambigua;Daphnia.catawba;Daphnia.dentifera;Daphnia.dubia;Daphnia.galeata.mendotae;Daphnia.longiremis;Daphnia.magna;Daphnia.middendorffiana;Daphnia.parvula;Daphnia.pulicaria;Daphnia.retrocurva;Daphnia.similis;Daphnia.thorata;Daphnia.spp.;Acanthocyclops.robustus;Acanthocyclops.sp.;Cyclops.columbianus;Cyclops.scutifer;Diacyclops.navus;Diacyclops.thomasi;Eucyclops.elegans;Eucyclops.pectinifer;Eucyclops.spp.;Macrocyclops.albidus;Mesocyclops.americanus;Mesocyclops.edax;Microcyclops.spp.;Orthocyclops.modestus;Tropocyclops.prasinus;cyclopoid.copepodid;Acanthodiaptomus.denticornis;Aglaodiaptomus.clavipes;Aglaodiaptomus.forbesi;Aglaodiaptomus.leptopus;Aglaodiaptomus.spatulocrenatus;Epischura.lacustris;Epischura.nevadensis;Epischura.nordenskioldi;Epischura.spp.;Hesperodiaptomus.arcticus;Hesperodiaptomus.eiseni;Hesperodiaptomus.franciscanus;Hesperodiaptomus.kenai;Hesperodiaptomus.nevadensis;Hesperodiaptomus.spp.;Heterocope.septentrionalis;Leptodiaptomus.ashlandi;Leptodiaptomus.minutus;Leptodiaptomus.nudus;Leptodiaptomus.pribilofensis;Leptodiaptomus.sicilis;Leptodiaptomus.siciloides;Leptodiaptomus.tyrelli;Limnocalanus.macrurus;Onychodiaptomus.hesperus;Onychodiaptomus.singuienus;Senecella.calanoides;Skistodiaptomus.oregonensis;Skistodiaptomus.pallidus;Skistodiaptomus.pygmaeus;Skistodiaptomus.reighardi;Skistodiaptomus.spp.;calanoid.copepodid;Acroperus.harpae;Alona.affinis;Alona.costata;Alona.guttata;Alona.intermedia;Alona.quadrangularis;Alona.spp.;Alonella.acutirostris;Alonella.nana;Bosmina.longirostris;Camptocercus.spp.;Ceriodaphnia.lacustris;Ceriodaphnia.quadrangula;Ceriodaphnia.spp.;Chydorus.sphaericus;Diaphanosoma.birgei;Diaphanosoma.brachyurum;Diaphanosoma.spp.;Dunhevedia.crassa;Eubosmina.coregoni;Eubosmina.longispina;Eubosmina.spp.;Eubosmina.tubicen;Eurycercus.spp.;Graptoleberis.testudinaria;Holopedium.glacialis;Ilyocryptus.spp.;Latona.spp.;Macrothrix.sp.;Moina.spp.;Picripleuroxus.denticulatus;Pleuroxus.procurvus;Polyphemus.pediculus;Scapholeberis.spp.;Sida.crystallina;Simocephalus.spp.;Leptodora Kindtii;ostracod;Bythotrephes
04-621;0;0;0;0;0;0;0;0;0;0.370736529906079;0;0;0;0;0;0;1.26668314384577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.917842865301458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.80904789100106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0154473554127533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04-622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0716195569136746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.36077158135982;0;0;0;0;0;0;0.0557040998217469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04-623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.167835729333056;8.54436440241012;0;0;0;0;0.854436440241012;0;0;0;0;0;0;0;0;0;0;0;0;0;10.4058152186494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.7066694446374;0;0;0;0;0.0839178646665278;0;10.0701437599833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0839178646665278;0
04-624;0;0;0;0;0.342561266931015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.748559805515921;0;0;0;2.80392740710201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.209342996457842;0;0;0;0.0126874543307783;0.00634372716538916;0;0.348904994096404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0431990978209466;0;0;0;2.46954842543077;0;0;0;0;0;0;0;0.705585264408795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.18797519007603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.4495070755575;0;0;0;0;0.0215995489104733;0;0;0;0;0;0;0;0;0;0;0;0;0
06-066;0;0;0;0;0;0;0;0;0;0;0;0.828598484848485;0;0;0;0;0;0;0;0.609763500388502;0;0;0;0;0;0;0;0.174218142968143;0;0;0.348436285936286;0;0;0;0;0;0.042416351010101;0;0;0;0;0;0;0;0;0;0;0;0;0.296914457070707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00394570707070707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00394570707070707;0;0;0;0;0.0236742424242424;0;0;0;0;0;0;0;0;0;0;0;0;0
06-071;0;0;0;0;0;0;0;0;0;0;0;1.24855136859939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.90096298259562;0;0;0.443034356599782;0;0;0;0;0;0;1.85268912759909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.85268912759909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0805517011999604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.161103402399921;0;0;0;0;0;0;0;0;0;0;0;0;0
06-080;0;0;0;0;0;0;2.39119363160284;0;0;0;0;0.58679598321542;0;0;0;0;0;0;0;0;0;2.5330026608799;0;0;0;0;0;1.35696571118566;0;0;0.452321903728552;0;0;0;0;0;0.610585009561991;0.0610585009561991;0;0;0;0;0;0;0;0;0;0;0;1.58752102486117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.51099965677971;0;0;0;0.689485280278119;0;0;0;0;1.27628126349354;0;0;0;0;0;0;0;0;0;0;0;0;0
06-083;0;0;0;8.13810372633901;0;0;3.82969587121836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6881519096052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.8918398018744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.405063986378865;0;0;0;0
06-085;0;0;0;0;0;0;0.0986758339699515;0;0;0;0;2.9931669637552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.18880885687608;0;0;0.324220597329841;0;0;0;0;0;7.23622782446311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
